act 行为，行动
activity 活动
adapt 改编，适应
add 增加，添加
adventure 冒险
advise 建议
afternoon 下午
age 年龄
agree 同意
air 空气
airplane 飞机
allow 允许
alone 独自
amazing 令人惊奇的
ancient 古老的
anger 愤怒
angrily 生气地
angry 生气的
animal 动物
answer 回答，答案
appear 出现
application 申请
area 地区，区域
arithmetic 算术
art 艺术
artist 艺术家
aside 在一边
ask 问，请求
attention 注意
attract 吸引
avoid 避免
awake 醒着的
bad 坏的
balance 平衡
bamboo 竹子
bark 树皮；狗叫
basic 基本的
bear 熊；忍受
beautiful 美丽的
beauty 美
become 变成
bed 床
bedroom 卧室
begin 开始
behind 后面
belief 信念
believe 相信
best 最好的
better 更好的
beyond 超越
big 大的
bigger 更大的
biggest 最大的
bird 鸟
black 黑色的
blue 蓝色的
boat 船
body 身体
book 书
bookshop 书店
bookstore 书店
boring 无聊的
borrow 借
bottle 瓶子
bottom 底部
bowl 碗
box 盒子
boy 男孩
brave 勇敢的
break 打破；休息
breakfast 早餐
breed 品种；繁殖
bridge 桥
bring 带来
brother 兄弟
build 建造
bully 欺凌
burn 燃烧
bus 公共汽车
busiest 最忙的
busy 忙碌的
buy 买
cake 蛋糕
call 叫，打电话
calm 平静的
calmer 更平静的
calmly 平静地
car 汽车
care 关心，照料
carefully 仔细地
carry 携带
catch 抓住
cause 导致，原因
celebrate 庆祝
celebration 庆祝
chair 椅子
chance 机会
change 改变，变化
check 检查
cheer 欢呼
child 孩子
chimpanzee 黑猩猩
chocolate 巧克力
choose 选择
city 城市
class 班级，课
classmate 同班同学
classroom 教室
clean 打扫，干净的
cleaner 清洁工
clear 清楚的
clearly 清楚地
clever 聪明的
climb 爬
close 关闭，近的
closely 密切地
closer 更近的
clothes 衣服
cloud 云
club 俱乐部
coffee 咖啡
cold 寒冷的
collect 收集
college 学院，大学
color 颜色
come 来
comfortable 舒服的
competition 比赛
completely 完全地
computer 电脑
connect 连接
consider 考虑
control 控制
conversation 谈话
cook 做饭
cool 凉爽的
corner 角落
correct 正确
cost 花费
costume 服装
counsel 顾问
count 计数
country 国家，乡村
